ID	author_ids	author_names_en	author_names_ur	category_ids	category_names_en	category_names_ur	epub_fn	title_en	title_ur	published_year	volume	isbn
2689	2913	Rajab Ali Beg Sarvar	رجب علی بیگ سرور	2	Fiction	افسانوی ادب	a9b89827-6f26-4f22-b9ed-e21db01861c7.epub	Fasana-e-Ajaib	فسانۂ عجائب			7694749942434
2694	2920	Aziz Ansari	عزیز انصاری	28	Children Literature	 بچوں کا ادب	5d97a73c-dc80-4273-b8c4-ddd35b35b527.epub	Titli Taare Phool	تتلی تارے پھول	2017		1333045089772
2695	2921	Raziya Tahseen	رضیہ تحسین	28	Children Literature	 بچوں کا ادب	23f2c227-36ec-4938-9672-0795604a10c4.epub	Shikari Shikar Aur Jangal Se Piyar	شکاری شکار اور جنگل سے پیار	2012		6780752764782
2696	2922	Dr. Nasreen Ramzan Sayyed	ڈاکٹر نسرین رمضان سیّد	28	Children Literature	 بچوں کا ادب	01fcb7ed-0809-4656-8b5a-9f2215178d60.epub	Lakeer Ka Faqueer	لکیر کا فقیر	2017		0731249501350
2697	2923	Idrees Siddique	ادریس صدیقی	28	Children Literature	 بچوں کا ادب	e5da9735-0e79-4d0f-9947-721aed416afb.epub	Zameeni Aloodgi Per Mabni Kahaniyan	زمینی آلودگی پر مبنی کہانیاں	201ً6		0543258881375
2698	2924	Firoz Bakht Ahmad	فیروز بخت احمد	28	Children Literature	 بچوں کا ادب	20ed7847-35da-4231-bb4c-80d157a632ef.epub	Hanso Aur Hansao	ہنسو اور ہنساؤ	2016		1417310821362
2699	2925	Athar Parwez	اطہر پرویز	28	Children Literature	 بچوں کا ادب	8120b2ed-49bc-42ab-aaee-68929624a241.epub	Ek Nai Aur Rangsaaz Ka Qissa	ایک نائی اور رنگساز کا قصّہ	2010		4219736270321
2700	2926	Azhar Afsar	اظہر افسر	28	Children Literature	 بچوں کا ادب	b441d45d-5a29-44ba-8f1f-bb4ed27e77bd.epub	Bachchon Ke Drame	بچوں کے ڈرامے	2012		4720585359533
2701	2927	Shabnam Kamali	شبنم کمالی	28	Children Literature	 بچوں کا ادب	4efcbd73-95ea-4ef5-a3d1-24dd2fbea414.epub	Aao Geet Gaaen	آؤ گیت گائیں			5201924582639
2702	2928	Mohdammad Shamsul Haq	محمد شمس الحق	28	Children Literature	 بچوں کا ادب	47abc66a-c9b1-43fe-af74-43c97cb5d725.epub	Aao Samander Ki Sair Karein	آؤ سمندر کی سیر کریں	2008		3626291573536
